id,house_number,road,city,state,zip,building,unit,level,neighborhood,zero_number_flag,no_number_flag,intersection_flag,no_name_flag,hyphen_flag
60928348,704,s st,philadelphia,pa,19147,,,,,0,0,0,0,0
1475800,1724,sansom st,philadelphia,pa,19103,,,,,0,0,0,0,0
91099754,1136,arch st,philadelphia,pa,19107,,,,,0,0,0,0,0
58020978,7,se 2nd st,philadelphia,pa,19106,,,,,0,0,0,0,0
27392086,619,s 2nd st,philadelphia,pa,19147,,,,,0,0,0,0,0
64888494,709,s 4th st,philadelphia,pa,19147,,,,,0,0,0,0,0
90125604,529,bainbridge st,philadelphia,pa,19147,,,,,0,0,0,0,0
30653458,527,s st,philadelphia,pa,19147,,,,,0,0,0,0,0
23576210,1726,e passyunk ave,philadelphia,pa,19148,,,,,0,0,0,0,0
53425840,912,walnut st,philadelphia,pa,19107,,,,,0,0,0,0,0
53425840,914,walnut st,philadelphia,pa,19107,,,,,0,0,0,0,0
53425840,916,walnut st,philadelphia,pa,19107,,,,,0,0,0,0,0
